Time,AD3_0_ai0,AD3_0_ai1
40.7 sec,2.96892229685676,3.03381904615392
40.8 sec,2.96983519315748,3.03473303435233
40.9 sec,2.96983519315748,3.03473303435233
41 sec,2.96800940055603,3.0329050579555
41.1 sec,2.96709650425531,3.03199106975709
41.2 sec,2.96800940055603,3.03199106975709
41.3 sec,2.96709650425531,3.03199106975709
41.4 sec,2.96800940055603,3.03199106975709
41.5 sec,2.96800940055603,3.03199106975709
41.6 sec,2.96800940055603,3.03199106975709
41.7 sec,2.96800940055603,3.0329050579555
41.8 sec,2.96618360795458,3.03107708155867
41.9 sec,2.96709650425531,3.03107708155867
42 sec,2.96800940055603,3.03199106975709
42.1 sec,2.96800940055603,3.03199106975709
42.2 sec,2.96800940055603,3.03199106975709
42.3 sec,2.96709650425531,3.03107708155867
42.4 sec,2.96800940055603,3.03199106975709
42.5 sec,2.96800940055603,3.03199106975709
42.6 sec,2.96800940055603,3.03199106975709
42.7 sec,2.96892229685676,3.0329050579555
42.8 sec,2.96800940055603,3.03199106975709
42.9 sec,2.96800940055603,3.03199106975709
43 sec,2.96709650425531,3.03199106975709
43.1 sec,2.96800940055603,3.0329050579555
43.2 sec,2.96892229685676,3.0329050579555
43.3 sec,2.96800940055603,3.03199106975709
43.4 sec,2.96800940055603,3.03199106975709
43.5 sec,2.96800940055603,3.0329050579555
43.6 sec,2.96983519315748,3.03381904615392
43.7 sec,2.96892229685676,3.0329050579555
43.8 sec,2.96892229685676,3.0329050579555
43.9 sec,2.96983519315748,3.0329050579555
44 sec,2.97074808945821,3.03473303435233
44.1 sec,2.97166098575893,3.03381904615392
44.2 sec,2.96983519315748,3.03381904615392
44.3 sec,2.96892229685676,3.03199106975709
44.4 sec,2.96800940055603,3.03107708155867
44.5 sec,2.96892229685676,3.03199106975709
44.6 sec,2.96800940055603,3.03107708155867
44.7 sec,2.96800940055603,3.03107708155867
44.8 sec,2.96800940055603,3.03199106975709
44.9 sec,2.96800940055603,3.03199106975709
45 sec,2.96800940055603,3.03199106975709
45.1 sec,2.96892229685676,3.03199106975709
45.2 sec,2.96892229685676,3.03199106975709
45.3 sec,2.96709650425531,3.03199106975709
45.4 sec,2.96892229685676,3.03199106975709
45.5 sec,2.96800940055603,3.03199106975709
45.6 sec,2.96800940055603,3.03199106975709
45.7 sec,2.96800940055603,3.0329050579555
45.8 sec,2.96800940055603,3.03199106975709
45.9 sec,2.96800940055603,3.03199106975709
46 sec,2.96800940055603,3.03199106975709
46.1 sec,2.96800940055603,3.03199106975709
46.2 sec,2.96800940055603,3.0329050579555
46.3 sec,2.96709650425531,3.03107708155867
46.4 sec,2.96800940055603,3.03199106975709
46.5 sec,2.96800940055603,3.03107708155867
46.6 sec,2.96800940055603,3.03199106975709
46.7 sec,2.96800940055603,3.03107708155867
46.8 sec,2.96800940055603,3.03199106975709
46.9 sec,2.96983519315748,3.03199106975709
47 sec,2.96892229685676,3.03199106975709
47.1 sec,2.96800940055603,3.03107708155867
47.2 sec,2.96892229685676,3.03199106975709
47.3 sec,2.96800940055603,3.03199106975709
47.4 sec,2.96800940055603,3.03107708155867
47.5 sec,2.96892229685676,3.03199106975709
47.6 sec,2.96983519315748,3.0329050579555
47.7 sec,2.96983519315748,3.03381904615392
47.8 sec,2.96983519315748,3.03199106975709
47.9 sec,2.96983519315748,3.0329050579555
48 sec,2.96983519315748,3.03473303435233
48.1 sec,2.96892229685676,3.0329050579555
48.2 sec,2.96892229685676,3.0329050579555
48.3 sec,2.96800940055603,3.03199106975709
48.4 sec,2.96800940055603,3.03199106975709
48.5 sec,2.96800940055603,3.03107708155867
48.6 sec,2.96892229685676,3.03199106975709
48.7 sec,2.96983519315748,3.0329050579555
48.8 sec,2.96892229685676,3.0329050579555
48.9 sec,2.96983519315748,3.0329050579555
49 sec,2.96983519315748,3.0329050579555
49.1 sec,2.96983519315748,3.0329050579555
